product_line,quarter,year,revenue,expenses,profit,margin_pct,notes
Enterprise Software,Q1,2024,2100000,1400000,700000,33.3,Core product - ERP and CRM suite
Enterprise Software,Q2,2024,2280000,1490000,790000,34.6,New logo wins in manufacturing vertical
Enterprise Software,Q3,2024,2050000,1520000,530000,25.9,Margin compressed by increased support costs and delayed renewals
Enterprise Software,Q4,2024,2450000,1510000,940000,38.4,Strong year-end close with 3 large enterprise deals
Enterprise Software,Q1,2025,2580000,1560000,1020000,39.5,
Enterprise Software,Q2,2025,2720000,1610000,1110000,40.8,
Professional Services,Q1,2024,1200000,980000,220000,18.3,Implementation and consulting
Professional Services,Q2,2024,1350000,1050000,300000,22.2,Increased project backlog
Professional Services,Q3,2024,1180000,1020000,160000,13.6,Resource constraints limited delivery capacity
Professional Services,Q4,2024,1420000,1040000,380000,26.8,Backlog cleared with contractor support
Professional Services,Q1,2025,1480000,1080000,400000,27.0,
Professional Services,Q2,2025,1560000,1120000,440000,28.2,
Cloud Subscriptions,Q1,2024,680000,310000,370000,54.4,SaaS platform - highest margin product
Cloud Subscriptions,Q2,2024,750000,330000,420000,56.0,
Cloud Subscriptions,Q3,2024,720000,360000,360000,50.0,Margin dip due to infrastructure scaling costs
Cloud Subscriptions,Q4,2024,840000,350000,490000,58.3,New tier pricing launched
Cloud Subscriptions,Q1,2025,920000,370000,550000,59.8,
Cloud Subscriptions,Q2,2025,1010000,390000,620000,61.4,Fastest growing product line
Hardware,Q1,2024,390000,340000,50000,12.8,Physical devices and peripherals
Hardware,Q2,2024,420000,360000,60000,14.3,
Hardware,Q3,2024,350000,330000,20000,5.7,Supply chain delays reduced margins significantly
Hardware,Q4,2024,400000,340000,60000,15.0,
Hardware,Q1,2025,380000,330000,50000,13.2,
Hardware,Q2,2025,360000,320000,40000,11.1,Strategic review underway - potential divestiture
